,0,1,2,3,,,,,,,,,,,,
0,0.72,0.418,0.157,-0.119,,,,,,,,,,,,
1,0.515,0.273,0.033,-0.183,,,,,,,,,,,,
2,0.323,0.125,-0.084,-0.283,,,,,,,,,,,,
3,0.194,0.014,-0.155,-0.318,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.72,0.65884,0.59701,0.53551,0.47534,0.4175,0.36288,0.31083,0.25999,0.209,0.1565,0.10226,0.04718,-0.00838,-0.06406,-0.1195
1,0.67868,0.62012,0.56103,0.50221,0.44445,0.38855,0.33513,0.28368,0.23324,0.18286,0.13159,0.07933,0.02672,-0.02609,-0.07896,-0.13172
2,0.63713,0.58124,0.52496,0.46888,0.41358,0.35964,0.30742,0.2565,0.2064,0.15659,0.10656,0.05638,0.00636,-0.04355,-0.09344,-0.14337
3,0.59569,0.54244,0.48894,0.43556,0.3827,0.33072,0.27968,0.22934,0.1796,0.13038,0.0816,0.03343,-0.01405,-0.06113,-0.10812,-0.15531
4,0.5547,0.50397,0.45311,0.40231,0.35177,0.30169,0.25189,0.20223,0.15299,0.10444,0.05685,0.01055,-0.03466,-0.07924,-0.12366,-0.1684
5,0.5145,0.46607,0.4176,0.36916,0.32077,0.2725,0.22399,0.1752,0.12668,0.07893,0.0325,-0.01224,-0.05563,-0.09825,-0.14068,-0.1835
6,0.4743,0.42798,0.38171,0.33541,0.28903,0.24249,0.19536,0.14769,0.10012,0.05331,0.00792,-0.03568,-0.07791,-0.11935,-0.1606,-0.20224
7,0.43387,0.38954,0.34532,0.30105,0.25657,0.21172,0.16604,0.11966,0.07323,0.02745,-0.01701,-0.05981,-0.10139,-0.14228,-0.18299,-0.22405
8,0.39439,0.35189,0.30954,0.26711,0.22439,0.18114,0.13696,0.09198,0.04684,0.00219,-0.04135,-0.08349,-0.12465,-0.16526,-0.20574,-0.24649
9,0.35704,0.31615,0.27543,0.23463,0.19349,0.15175,0.10904,0.06553,0.02178,-0.02163,-0.06416,-0.10558,-0.14627,-0.18655,-0.22673,-0.26712
10,0.323,0.28347,0.2441,0.20466,0.16487,0.1245,0.08321,0.04118,-0.00112,-0.04317,-0.0845,-0.12494,-0.16482,-0.20438,-0.24386,-0.2835
11,0.29327,0.25475,0.21636,0.17791,0.13919,0.1,0.06007,0.01953,-0.02121,-0.06174,-0.10164,-0.14079,-0.17945,-0.21783,-0.25614,-0.29459
12,0.26706,0.22924,0.19149,0.1537,0.11577,0.0776,0.03899,0,-0.03905,-0.07789,-0.11621,-0.15389,-0.19111,-0.22808,-0.26498,-0.30202
13,0.24288,0.20557,0.16825,0.13094,0.09365,0.0564,0.01909,-0.01831,-0.05561,-0.09267,-0.12931,-0.16541,-0.20107,-0.2365,-0.27186,-0.30734
14,0.21919,0.18236,0.14542,0.10853,0.07184,0.0355,-0.00052,-0.03631,-0.07185,-0.1071,-0.14204,-0.17653,-0.21062,-0.24446,-0.27824,-0.31215
15,0.1945,0.15822,0.12177,0.08541,0.0494,0.014,-0.02072,-0.05493,-0.08873,-0.12222,-0.1555,-0.18845,-0.221,-0.25334,-0.28561,-0.318
